jahr,ort,tage,typ
2004,St. Gallen,36,Eistage
2004,Zürich-Fluntern,15,Eistage
2005,Basel-Binningen,18,Eistage
2005,Bern-Zollikofen,41,Eistage
2005,Davos,86,Eistage
2005,Genf-Cointrin,10,Eistage
2005,Locarno-Monti,1,Eistage
2005,Lugano,1,Eistage
2005,Luzern,27,Eistage
2005,Neuenburg,20,Eistage
2005,Säntis,155,Eistage
2005,Samedan,87,Eistage
2005,Sitten,26,Eistage
2005,St. Gallen,51,Eistage
2005,Zürich-Fluntern,38,Eistage
2006,Basel-Binningen,15,Eistage
2006,Bern-Zollikofen,28,Eistage
2006,Davos,62,Eistage
2006,Genf-Cointrin,11,Eistage
2006,Locarno-Monti,1,Eistage
2006,Lugano,1,Eistage
2006,Luzern,25,Eistage
2006,Neuenburg,23,Eistage
2006,Säntis,147,Eistage
2006,Samedan,66,Eistage
2006,Sitten,5,Eistage
2006,St. Gallen,49,Eistage
2006,Zürich-Fluntern,28,Eistage
2007,Basel-Binningen,5,Eistage
2007,Bern-Zollikofen,20,Eistage
2007,Davos,47,Eistage
2007,Genf-Cointrin,10,Eistage
2007,Locarno-Monti,0,Eistage
2007,Lugano,0,Eistage
2007,Luzern,18,Eistage
2007,Neuenburg,18,Eistage
2007,Säntis,139,Eistage
2007,Samedan,45,Eistage
2007,Sitten,2,Eistage
2007,St. Gallen,21,Eistage
2007,Zürich-Fluntern,18,Eistage
2008,Basel-Binningen,4,Eistage
2008,Bern-Zollikofen,10,Eistage
2008,Davos,46,Eistage
2008,Genf-Cointrin,2,Eistage
2008,Locarno-Monti,1,Eistage
2008,Lugano,0,Eistage
2008,Luzern,7,Eistage
2008,Neuenburg,6,Eistage
2008,Säntis,169,Eistage
2008,Samedan,65,Eistage
2008,Sitten,4,Eistage
2008,St. Gallen,20,Eistage
2008,Zürich-Fluntern,11,Eistage
2009,Basel-Binningen,17,Eistage
2009,Bern-Zollikofen,27,Eistage
2009,Davos,78,Eistage
2009,Genf-Cointrin,17,Eistage
2009,Locarno-Monti,0,Eistage
2009,Lugano,0,Eistage
2009,Luzern,25,Eistage
2009,Neuenburg,21,Eistage
2009,Säntis,152,Eistage
2009,Samedan,83,Eistage
2009,Sitten,11,Eistage
2009,St. Gallen,34,Eistage
2009,Zürich-Fluntern,28,Eistage
2010,Basel-Binningen,30,Eistage
2010,Bern-Zollikofen,38,Eistage
2010,Davos,85,Eistage
2010,Genf-Cointrin,23,Eistage
2010,Locarno-Monti,2,Eistage
2010,Lugano,1,Eistage
2010,Luzern,37,Eistage
2010,Neuenburg,32,Eistage
2010,Säntis,177,Eistage
2010,Samedan,88,Eistage
2010,Sitten,17,Eistage
2010,St. Gallen,53,Eistage
2010,Zürich-Fluntern,41,Eistage
2011,Basel-Binningen,6,Eistage
2011,Bern-Zollikofen,11,Eistage
2011,Davos,34,Eistage
2011,Genf-Cointrin,4,Eistage
2011,Locarno-Monti,0,Eistage
2011,Lugano,0,Eistage
2011,Luzern,10,Eistage
2011,Neuenburg,6,Eistage
2011,Säntis,118,Eistage
2011,Samedan,36,Eistage
2011,Sitten,3,Eistage
2011,St. Gallen,21,Eistage
2011,Zürich-Fluntern,12,Eistage
2012,Basel-Binningen,15,Eistage
2012,Bern-Zollikofen,20,Eistage
2012,Davos,64,Eistage
2012,Genf-Cointrin,15,Eistage
2012,Locarno-Monti,8,Eistage
2012,Lugano,4,Eistage
2012,Luzern,19,Eistage
2012,Neuenburg,15,Eistage
2012,Säntis,145,Eistage
2012,Samedan,59,Eistage
2012,Sitten,18,Eistage
2012,St. Gallen,32,Eistage
2012,Zürich-Fluntern,24,Eistage
2013,Basel-Binningen,15,Eistage
2013,Bern-Zollikofen,24,Eistage
2013,Davos,60,Eistage
2013,Genf-Cointrin,8,Eistage
2013,Locarno-Monti,1,Eistage
2013,Lugano,0,Eistage
2013,Luzern,19,Eistage
2013,Neuenburg,16,Eistage
2013,Säntis,156,Eistage
2013,Samedan,67,Eistage
2013,Sitten,3,Eistage
2013,St. Gallen,37,Eistage
2013,Zürich-Fluntern,27,Eistage
2014,Basel-Binningen,2,Eistage
2014,Bern-Zollikofen,2,Eistage
2014,Davos,33,Eistage
2014,Genf-Cointrin,1,Eistage
2014,Locarno-Monti,0,Eistage
2014,Lugano,0,Eistage
2014,Luzern,2,Eistage
2014,Neuenburg,1,Eistage
2014,Säntis,118,Eistage
2014,Samedan,37,Eistage
2014,Sitten,2,Eistage
2014,St. Gallen,6,Eistage
2014,Zürich-Fluntern,4,Eistage
2015,Basel-Binningen,1,Eistage
2015,Bern-Zollikofen,9,Eistage
2015,Davos,41,Eistage
2015,Genf-Cointrin,4,Eistage
2015,Locarno-Monti,0,Eistage
2015,Lugano,0,Eistage
2015,Luzern,7,Eistage
2015,Neuenburg,5,Eistage
