jahr,ort,tage,typ
2017,Sitten,89,Frosttage
2017,St. Gallen,88,Frosttage
2017,Zürich-Fluntern,76,Frosttage
2018,Basel-Binningen,51,Frosttage
2018,Bern-Zollikofen,85,Frosttage
2018,Davos,161,Frosttage
2018,Genf-Cointrin,36,Frosttage
2018,Locarno-Monti,13,Frosttage
2018,Lugano,12,Frosttage
2018,Luzern,55,Frosttage
2018,Neuenburg,45,Frosttage
2018,Säntis,201,Frosttage
2018,Samedan,204,Frosttage
2018,Sitten,73,Frosttage
2018,St. Gallen,74,Frosttage
2018,Zürich-Fluntern,65,Frosttage
2019,Basel-Binningen,52,Frosttage
2019,Bern-Zollikofen,100,Frosttage
2019,Davos,186,Frosttage
2019,Genf-Cointrin,69,Frosttage
2019,Locarno-Monti,10,Frosttage
2019,Lugano,10,Frosttage
2019,Luzern,65,Frosttage
2019,Neuenburg,45,Frosttage
2019,Säntis,225,Frosttage
2019,Samedan,206,Frosttage
2019,Sitten,84,Frosttage
2019,St. Gallen,87,Frosttage
2019,Zürich-Fluntern,59,Frosttage
2020,Basel-Binningen,48,Frosttage
2020,Bern-Zollikofen,91,Frosttage
2020,Davos,181,Frosttage
2020,Genf-Cointrin,58,Frosttage
2020,Locarno-Monti,7,Frosttage
2020,Lugano,7,Frosttage
2020,Luzern,64,Frosttage
2020,Neuenburg,31,Frosttage
2020,Säntis,227,Frosttage
2020,Samedan,228,Frosttage
2020,Sitten,85,Frosttage
2020,St. Gallen,72,Frosttage
2020,Zürich-Fluntern,60,Frosttage
1959,Basel-Binningen,55,Sommertage
1959,Bern-Zollikofen,39,Sommertage
1959,Davos,0,Sommertage
1959,Genf-Cointrin,53,Sommertage
1959,Locarno-Monti,51,Sommertage
1959,Lugano,63,Sommertage
1959,Luzern,36,Sommertage
1959,Neuenburg,48,Sommertage
1959,Säntis,0,Sommertage
1959,Samedan,1,Sommertage
1959,Sitten,68,Sommertage
1959,St. Gallen,10,Sommertage
1959,Zürich-Fluntern,34,Sommertage
1960,Basel-Binningen,23,Sommertage
1960,Bern-Zollikofen,13,Sommertage
1960,Davos,0,Sommertage
1960,Genf-Cointrin,34,Sommertage
1960,Locarno-Monti,21,Sommertage
1960,Lugano,34,Sommertage
1960,Luzern,20,Sommertage
1960,Neuenburg,17,Sommertage
1960,Säntis,0,Sommertage
1960,Samedan,0,Sommertage
1960,Sitten,32,Sommertage
1960,St. Gallen,8,Sommertage
1960,Zürich-Fluntern,19,Sommertage
1961,Basel-Binningen,47,Sommertage
1961,Bern-Zollikofen,34,Sommertage
1961,Davos,0,Sommertage
1961,Genf-Cointrin,52,Sommertage
1961,Locarno-Monti,55,Sommertage
1961,Lugano,65,Sommertage
1961,Luzern,37,Sommertage
1961,Neuenburg,33,Sommertage
1961,Säntis,0,Sommertage
1961,Samedan,0,Sommertage
1961,Sitten,53,Sommertage
1961,St. Gallen,12,Sommertage
1961,Zürich-Fluntern,34,Sommertage
1962,Basel-Binningen,48,Sommertage
1962,Bern-Zollikofen,38,Sommertage
1962,Davos,1,Sommertage
1962,Genf-Cointrin,60,Sommertage
1962,Locarno-Monti,72,Sommertage
1962,Lugano,64,Sommertage
1962,Luzern,39,Sommertage
1962,Neuenburg,49,Sommertage
1962,Säntis,0,Sommertage
1962,Samedan,3,Sommertage
1962,Sitten,63,Sommertage
1962,St. Gallen,12,Sommertage
1962,Zürich-Fluntern,35,Sommertage
1963,Basel-Binningen,30,Sommertage
1963,Bern-Zollikofen,21,Sommertage
1963,Davos,1,Sommertage
1963,Genf-Cointrin,34,Sommertage
1963,Locarno-Monti,38,Sommertage
1963,Lugano,42,Sommertage
1963,Luzern,24,Sommertage
1963,Neuenburg,21,Sommertage
1963,Säntis,0,Sommertage
1963,Samedan,0,Sommertage
1963,Sitten,47,Sommertage
1963,St. Gallen,13,Sommertage
1963,Zürich-Fluntern,23,Sommertage
1964,Basel-Binningen,56,Sommertage
1964,Bern-Zollikofen,41,Sommertage
1964,Davos,0,Sommertage
1964,Genf-Cointrin,58,Sommertage
1964,Locarno-Monti,63,Sommertage
1964,Lugano,53,Sommertage
1964,Luzern,49,Sommertage
1964,Neuenburg,38,Sommertage
1964,Säntis,0,Sommertage
1964,Samedan,2,Sommertage
1964,Sitten,64,Sommertage
1964,St. Gallen,22,Sommertage
1964,Zürich-Fluntern,42,Sommertage
1965,Basel-Binningen,29,Sommertage
1965,Bern-Zollikofen,23,Sommertage
1965,Davos,2,Sommertage
1965,Genf-Cointrin,38,Sommertage
1965,Locarno-Monti,37,Sommertage
1965,Lugano,34,Sommertage
1965,Luzern,20,Sommertage
1965,Neuenburg,22,Sommertage
1965,Säntis,0,Sommertage
1965,Samedan,0,Sommertage
1965,Sitten,39,Sommertage
1965,St. Gallen,9,Sommertage
1965,Zürich-Fluntern,18,Sommertage
1966,Basel-Binningen,35,Sommertage
1966,Bern-Zollikofen,29,Sommertage
1966,Davos,1,Sommertage
1966,Genf-Cointrin,45,Sommertage
1966,Locarno-Monti,40,Sommertage
1966,Lugano,45,Sommertage
1966,Luzern,34,Sommertage
1966,Neuenburg,28,Sommertage
1966,Säntis,0,Sommertage
1966,Samedan,3,Sommertage
1966,Sitten,51,Sommertage
1966,St. Gallen,8,Sommertage
1966,Zürich-Fluntern,27,Sommertage
1967,Basel-Binningen,50,Sommertage
1967,Bern-Zollikofen,34,Sommertage
1967,Davos,0,Sommertage
1967,Genf-Cointrin,49,Sommertage
1967,Locarno-Monti,51,Sommertage
1967,Lugano,52,Sommertage
1967,Luzern,32,Sommertage
1967,Neuenburg,30,Sommertage
1967,Säntis,0,Sommertage
1967,Samedan,2,Sommertage
1967,Sitten,59,Sommertage
1967,St. Gallen,17,Sommertage
1967,Zürich-Fluntern,36,Sommertage
1968,Basel-Binningen,27,Sommertage
1968,Bern-Zollikofen,17,Sommertage
1968,Davos,4,Sommertage
1968,Genf-Cointrin,28,Sommertage
1968,Locarno-Monti,30,Sommertage
1968,Lugano,26,Sommertage
1968,Luzern,21,Sommertage
1968,Neuenburg,17,Sommertage
1968,Säntis,0,Sommertage
1968,Samedan,5,Sommertage
1968,Sitten,35,Sommertage
1968,St. Gallen,10,Sommertage
1968,Zürich-Fluntern,20,Sommertage
1969,Basel-Binningen,44,Sommertage
1969,Bern-Zollikofen,32,Sommertage
1969,Davos,0,Sommertage
1969,Genf-Cointrin,42,Sommertage
1969,Locarno-Monti,45,Sommertage
1969,Lugano,37,Sommertage
1969,Luzern,35,Sommertage
1969,Neuenburg,32,Sommertage
1969,Säntis,0,Sommertage
1969,Samedan,1,Sommertage
1969,Sitten,49,Sommertage
1969,St. Gallen,18,Sommertage
1969,Zürich-Fluntern,37,Sommertage
1970,Basel-Binningen,41,Sommertage
1970,Bern-Zollikofen,29,Sommertage
1970,Davos,1,Sommertage
1970,Genf-Cointrin,56,Sommertage
1970,Locarno-Monti,53,Sommertage
1970,Lugano,53,Sommertage
1970,Luzern,34,Sommertage
1970,Neuenburg,33,Sommertage
1970,Säntis,0,Sommertage
1970,Samedan,1,Sommertage
1970,Sitten,59,Sommertage
1970,St. Gallen,10,Sommertage
1970,Zürich-Fluntern,33,Sommertage
1971,Basel-Binningen,46,Sommertage
1971,Bern-Zollikofen,35,Sommertage
1971,Davos,2,Sommertage
1971,Genf-Cointrin,56,Sommertage
1971,Locarno-Monti,55,Sommertage
1971,Lugano,50,Sommertage
1971,Luzern,40,Sommertage
1971,Neuenburg,41,Sommertage
1971,Säntis,0,Sommertage
1971,Samedan,3,Sommertage
1971,Sitten,54,Sommertage
1971,St. Gallen,19,Sommertage
1971,Zürich-Fluntern,31,Sommertage
1972,Basel-Binningen,24,Sommertage
1972,Bern-Zollikofen,19,Sommertage
1972,Davos,3,Sommertage
1972,Genf-Cointrin,33,Sommertage
1972,Locarno-Monti,35,Sommertage
1972,Lugano,25,Sommertage
1972,Luzern,23,Sommertage
1972,Neuenburg,22,Sommertage
1972,Säntis,0,Sommertage
1972,Samedan,2,Sommertage
1972,Sitten,37,Sommertage
1972,St. Gallen,9,Sommertage
1972,Zürich-Fluntern,21,Sommertage
1973,Basel-Binningen,50,Sommertage
1973,Bern-Zollikofen,37,Sommertage
1973,Davos,0,Sommertage
1973,Genf-Cointrin,61,Sommertage
1973,Locarno-Monti,68,Sommertage
1973,Lugano,56,Sommertage
1973,Luzern,46,Sommertage
1973,Neuenburg,42,Sommertage
1973,Säntis,0,Sommertage
1973,Samedan,2,Sommertage
1973,Sitten,66,Sommertage
1973,St. Gallen,18,Sommertage
1973,Zürich-Fluntern,39,Sommertage
1974,Basel-Binningen,30,Sommertage
1974,Bern-Zollikofen,22,Sommertage
1974,Davos,2,Sommertage
1974,Genf-Cointrin,43,Sommertage
1974,Locarno-Monti,59,Sommertage
1974,Lugano,57,Sommertage
1974,Luzern,29,Sommertage
1974,Neuenburg,26,Sommertage
1974,Säntis,0,Sommertage
1974,Samedan,3,Sommertage
1974,Sitten,52,Sommertage
1974,St. Gallen,10,Sommertage
1974,Zürich-Fluntern,23,Sommertage
1975,Basel-Binningen,38,Sommertage
1975,Bern-Zollikofen,33,Sommertage
1975,Davos,0,Sommertage
1975,Genf-Cointrin,50,Sommertage
1975,Locarno-Monti,53,Sommertage
1975,Lugano,50,Sommertage
1975,Luzern,36,Sommertage
1975,Neuenburg,35,Sommertage
1975,Säntis,0,Sommertage
1975,Samedan,0,Sommertage
1975,Sitten,55,Sommertage
1975,St. Gallen,13,Sommertage
1975,Zürich-Fluntern,32,Sommertage
1976,Basel-Binningen,56,Sommertage
1976,Bern-Zollikofen,42,Sommertage
1976,Davos,0,Sommertage
1976,Genf-Cointrin,64,Sommertage
1976,Locarno-Monti,67,Sommertage
1976,Lugano,53,Sommertage
1976,Luzern,45,Sommertage
1976,Neuenburg,52,Sommertage
1976,Säntis,0,Sommertage
1976,Samedan,0,Sommertage
1976,Sitten,69,Sommertage
1976,St. Gallen,22,Sommertage
1976,Zürich-Fluntern,38,Sommertage
1977,Basel-Binningen,23,Sommertage
1977,Bern-Zollikofen,13,Sommertage
1977,Davos,0,Sommertage
1977,Genf-Cointrin,31,Sommertage
1977,Locarno-Monti,32,Sommertage
1977,Lugano,21,Sommertage
1977,Luzern,21,Sommertage
1977,Neuenburg,12,Sommertage
1977,Säntis,0,Sommertage
1977,Samedan,0,Sommertage
1977,Sitten,38,Sommertage
1977,St. Gallen,5,Sommertage
1977,Zürich-Fluntern,15,Sommertage
1978,Basel-Binningen,29,Sommertage
1978,Bern-Zollikofen,15,Sommertage
1978,Davos,0,Sommertage
1978,Genf-Cointrin,35,Sommertage
1978,Locarno-Monti,40,Sommertage
1978,Lugano,41,Sommertage
1978,Luzern,25,Sommertage
1978,Neuenburg,15,Sommertage
1978,Säntis,0,Sommertage
1978,Samedan,0,Sommertage
1978,Sitten,36,Sommertage
1978,St. Gallen,4,Sommertage
1978,Zürich-Fluntern,18,Sommertage
1979,Basel-Binningen,34,Sommertage
1979,Bern-Zollikofen,25,Sommertage
1979,Davos,0,Sommertage
1979,Genf-Cointrin,56,Sommertage
1979,Locarno-Monti,53,Sommertage
1979,Lugano,43,Sommertage
1979,Luzern,30,Sommertage
1979,Neuenburg,37,Sommertage
1979,Säntis,0,Sommertage
1979,Samedan,0,Sommertage
1979,Sitten,50,Sommertage
1979,St. Gallen,8,Sommertage
1979,Zürich-Fluntern,26,Sommertage
1980,Basel-Binningen,31,Sommertage
1980,Bern-Zollikofen,22,Sommertage
1980,Davos,3,Sommertage
1980,Genf-Cointrin,36,Sommertage
1980,Locarno-Monti,42,Sommertage
1980,Lugano,38,Sommertage
1980,Luzern,23,Sommertage
1980,Neuenburg,18,Sommertage
1980,Säntis,0,Sommertage
1980,Samedan,1,Sommertage
1980,Sitten,39,Sommertage
1980,St. Gallen,8,Sommertage
1980,Zürich-Fluntern,19,Sommertage
1981,Basel-Binningen,33,Sommertage
1981,Bern-Zollikofen,30,Sommertage
1981,Davos,2,Sommertage
1981,Genf-Cointrin,44,Sommertage
1981,Locarno-Monti,55,Sommertage
1981,Lugano,46,Sommertage
1981,Luzern,29,Sommertage
1981,Neuenburg,32,Sommertage
1981,Säntis,0,Sommertage
1981,Samedan,1,Sommertage
1981,Sitten,55,Sommertage
1981,St. Gallen,8,Sommertage
1981,Zürich-Fluntern,27,Sommertage
1982,Basel-Binningen,53,Sommertage
1982,Bern-Zollikofen,31,Sommertage
1982,Davos,1,Sommertage
1982,Genf-Cointrin,62,Sommertage
1982,Locarno-Monti,65,Sommertage
1982,Lugano,63,Sommertage
1982,Luzern,41,Sommertage
1982,Neuenburg,36,Sommertage
1982,Säntis,0,Sommertage
1982,Samedan,1,Sommertage
1982,Sitten,64,Sommertage
1982,St. Gallen,16,Sommertage
1982,Zürich-Fluntern,34,Sommertage
1983,Basel-Binningen,62,Sommertage
1983,Bern-Zollikofen,45,Sommertage
1983,Davos,8,Sommertage
1983,Genf-Cointrin,68,Sommertage
1983,Locarno-Monti,68,Sommertage
1983,Lugano,59,Sommertage
1983,Luzern,49,Sommertage
1983,Neuenburg,56,Sommertage
1983,Säntis,0,Sommertage
1983,Samedan,10,Sommertage
1983,Sitten,66,Sommertage
1983,St. Gallen,24,Sommertage
1983,Zürich-Fluntern,44,Sommertage
1984,Basel-Binningen,34,Sommertage
1984,Bern-Zollikofen,26,Sommertage
1984,Davos,4,Sommertage
1984,Genf-Cointrin,48,Sommertage
1984,Locarno-Monti,59,Sommertage
1984,Lugano,61,Sommertage
1984,Luzern,29,Sommertage
1984,Neuenburg,37,Sommertage
1984,Säntis,0,Sommertage
1984,Samedan,2,Sommertage
1984,Sitten,57,Sommertage
1984,St. Gallen,6,Sommertage
1984,Zürich-Fluntern,27,Sommertage
1985,Basel-Binningen,54,Sommertage
1985,Bern-Zollikofen,48,Sommertage
1985,Davos,2,Sommertage
1985,Genf-Cointrin,66,Sommertage
1985,Locarno-Monti,61,Sommertage
1985,Lugano,62,Sommertage
1985,Luzern,41,Sommertage
1985,Neuenburg,55,Sommertage
1985,Säntis,0,Sommertage
1985,Samedan,0,Sommertage
1985,Sitten,70,Sommertage
1985,St. Gallen,11,Sommertage
1985,Zürich-Fluntern,36,Sommertage
1986,Basel-Binningen,51,Sommertage
1986,Bern-Zollikofen,42,Sommertage
1986,Davos,1,Sommertage
1986,Genf-Cointrin,63,Sommertage
1986,Locarno-Monti,71,Sommertage
1986,Lugano,53,Sommertage
1986,Luzern,47,Sommertage
1986,Neuenburg,47,Sommertage
1986,Säntis,0,Sommertage
1986,Samedan,0,Sommertage
1986,Sitten,60,Sommertage
1986,St. Gallen,13,Sommertage
1986,Zürich-Fluntern,42,Sommertage
1987,Basel-Binningen,39,Sommertage
1987,Bern-Zollikofen,44,Sommertage
1987,Davos,0,Sommertage
1987,Genf-Cointrin,58,Sommertage
1987,Locarno-Monti,61,Sommertage
1987,Lugano,60,Sommertage
1987,Luzern,37,Sommertage
1987,Neuenburg,35,Sommertage
1987,Säntis,0,Sommertage
1987,Samedan,2,Sommertage
1987,Sitten,57,Sommertage
1987,St. Gallen,16,Sommertage
1987,Zürich-Fluntern,36,Sommertage
1988,Basel-Binningen,37,Sommertage
1988,Bern-Zollikofen,27,Sommertage
1988,Davos,1,Sommertage
1988,Genf-Cointrin,50,Sommertage
1988,Locarno-Monti,55,Sommertage
1988,Lugano,54,Sommertage
1988,Luzern,33,Sommertage
1988,Neuenburg,24,Sommertage
1988,Säntis,0,Sommertage
1988,Samedan,0,Sommertage
1988,Sitten,67,Sommertage
1988,St. Gallen,15,Sommertage
1988,Zürich-Fluntern,24,Sommertage
1989,Basel-Binningen,58,Sommertage
1989,Bern-Zollikofen,38,Sommertage
1989,Davos,0,Sommertage
1989,Genf-Cointrin,72,Sommertage
1989,Locarno-Monti,69,Sommertage
1989,Lugano,58,Sommertage
1989,Luzern,38,Sommertage
1989,Neuenburg,49,Sommertage
1989,Säntis,0,Sommertage
1989,Samedan,0,Sommertage
1989,Sitten,86,Sommertage
1989,St. Gallen,8,Sommertage
1989,Zürich-Fluntern,26,Sommertage
1990,Basel-Binningen,49,Sommertage
1990,Bern-Zollikofen,41,Sommertage
1990,Davos,1,Sommertage
1990,Genf-Cointrin,57,Sommertage
1990,Locarno-Monti,74,Sommertage
1990,Lugano,67,Sommertage
1990,Luzern,42,Sommertage
1990,Neuenburg,45,Sommertage
1990,Säntis,0,Sommertage
1990,Samedan,1,Sommertage
1990,Sitten,61,Sommertage
1990,St. Gallen,18,Sommertage
1990,Zürich-Fluntern,37,Sommertage
1991,Basel-Binningen,62,Sommertage
1991,Bern-Zollikofen,58,Sommertage
1991,Davos,1,Sommertage
1991,Genf-Cointrin,75,Sommertage
1991,Locarno-Monti,86,Sommertage
1991,Lugano,77,Sommertage
1991,Luzern,58,Sommertage
1991,Neuenburg,56,Sommertage
1991,Säntis,0,Sommertage
1991,Samedan,4,Sommertage
1991,Sitten,83,Sommertage
1991,St. Gallen,14,Sommertage
1991,Zürich-Fluntern,53,Sommertage
1992,Basel-Binningen,54,Sommertage
1992,Bern-Zollikofen,39,Sommertage
1992,Davos,7,Sommertage
1992,Genf-Cointrin,57,Sommertage
1992,Locarno-Monti,58,Sommertage
1992,Lugano,56,Sommertage
1992,Luzern,49,Sommertage
1992,Neuenburg,42,Sommertage
1992,Säntis,0,Sommertage
1992,Samedan,2,Sommertage
1992,Sitten,74,Sommertage
1992,St. Gallen,27,Sommertage
1992,Zürich-Fluntern,41,Sommertage
1993,Basel-Binningen,46,Sommertage
1993,Bern-Zollikofen,33,Sommertage
1993,Davos,2,Sommertage
1993,Genf-Cointrin,53,Sommertage
1993,Locarno-Monti,60,Sommertage
1993,Lugano,59,Sommertage
1993,Luzern,37,Sommertage
1993,Neuenburg,37,Sommertage
1993,Säntis,0,Sommertage
1993,Samedan,0,Sommertage
1993,Sitten,64,Sommertage
1993,St. Gallen,17,Sommertage
1993,Zürich-Fluntern,33,Sommertage
1994,Basel-Binningen,57,Sommertage
1994,Bern-Zollikofen,52,Sommertage
1994,Davos,4,Sommertage
1994,Genf-Cointrin,66,Sommertage
1994,Locarno-Monti,75,Sommertage
1994,Lugano,75,Sommertage
1994,Luzern,52,Sommertage
1994,Neuenburg,51,Sommertage
1994,Säntis,0,Sommertage
1994,Samedan,6,Sommertage
1994,Sitten,75,Sommertage
1994,St. Gallen,38,Sommertage
1994,Zürich-Fluntern,51,Sommertage
1995,Basel-Binningen,52,Sommertage
1995,Bern-Zollikofen,38,Sommertage
1995,Davos,3,Sommertage
1995,Genf-Cointrin,53,Sommertage
1995,Locarno-Monti,64,Sommertage
1995,Lugano,57,Sommertage
1995,Luzern,43,Sommertage
1995,Neuenburg,42,Sommertage
1995,Säntis,0,Sommertage
1995,Samedan,2,Sommertage
1995,Sitten,65,Sommertage
1995,St. Gallen,22,Sommertage
1995,Zürich-Fluntern,37,Sommertage
1996,Basel-Binningen,42,Sommertage
1996,Bern-Zollikofen,28,Sommertage
1996,Davos,0,Sommertage
1996,Genf-Cointrin,44,Sommertage
1996,Locarno-Monti,50,Sommertage
1996,Lugano,48,Sommertage
1996,Luzern,35,Sommertage
1996,Neuenburg,32,Sommertage
1996,Säntis,0,Sommertage
1996,Samedan,0,Sommertage
1996,Sitten,56,Sommertage
1996,St. Gallen,8,Sommertage
1996,Zürich-Fluntern,29,Sommertage
1997,Basel-Binningen,57,Sommertage
1997,Bern-Zollikofen,37,Sommertage
1997,Davos,0,Sommertage
1997,Genf-Cointrin,57,Sommertage
1997,Locarno-Monti,78,Sommertage
1997,Lugano,79,Sommertage
1997,Luzern,44,Sommertage
1997,Neuenburg,38,Sommertage
1997,Säntis,0,Sommertage
1997,Samedan,0,Sommertage
1997,Sitten,62,Sommertage
1997,St. Gallen,9,Sommertage
1997,Zürich-Fluntern,39,Sommertage
1998,Basel-Binningen,51,Sommertage
1998,Bern-Zollikofen,48,Sommertage
1998,Davos,6,Sommertage
1998,Genf-Cointrin,66,Sommertage
1998,Locarno-Monti,75,Sommertage
1998,Lugano,70,Sommertage
1998,Luzern,50,Sommertage
1998,Neuenburg,46,Sommertage
1998,Säntis,0,Sommertage
1998,Samedan,4,Sommertage
1998,Sitten,71,Sommertage
1998,St. Gallen,23,Sommertage
1998,Zürich-Fluntern,40,Sommertage
1999,Basel-Binningen,49,Sommertage
1999,Bern-Zollikofen,41,Sommertage
1999,Davos,1,Sommertage
1999,Genf-Cointrin,56,Sommertage
1999,Locarno-Monti,66,Sommertage
1999,Lugano,59,Sommertage
1999,Luzern,40,Sommertage
1999,Neuenburg,36,Sommertage
1999,Säntis,0,Sommertage
1999,Samedan,0,Sommertage
1999,Sitten,67,Sommertage
1999,St. Gallen,13,Sommertage
1999,Zürich-Fluntern,35,Sommertage
2000,Basel-Binningen,52,Sommertage
2000,Bern-Zollikofen,40,Sommertage
2000,Davos,5,Sommertage
2000,Genf-Cointrin,61,Sommertage
2000,Locarno-Monti,73,Sommertage
2000,Lugano,67,Sommertage
2000,Luzern,46,Sommertage
2000,Neuenburg,43,Sommertage
2000,Säntis,0,Sommertage
2000,Samedan,0,Sommertage
2000,Sitten,80,Sommertage
2000,St. Gallen,25,Sommertage
2000,Zürich-Fluntern,38,Sommertage
2001,Basel-Binningen,50,Sommertage
2001,Bern-Zollikofen,43,Sommertage
2001,Davos,1,Sommertage
2001,Genf-Cointrin,63,Sommertage
2001,Locarno-Monti,70,Sommertage
2001,Lugano,69,Sommertage
2001,Luzern,46,Sommertage
2001,Neuenburg,46,Sommertage
2001,Säntis,0,Sommertage
2001,Samedan,1,Sommertage
2001,Sitten,61,Sommertage
2001,St. Gallen,20,Sommertage
2001,Zürich-Fluntern,39,Sommertage
2002,Basel-Binningen,45,Sommertage
2002,Bern-Zollikofen,34,Sommertage
2002,Davos,5,Sommertage
2002,Genf-Cointrin,50,Sommertage
2002,Locarno-Monti,69,Sommertage
2002,Lugano,60,Sommertage
2002,Luzern,41,Sommertage
2002,Neuenburg,35,Sommertage
2002,Säntis,0,Sommertage
2002,Samedan,5,Sommertage
2002,Sitten,63,Sommertage
2002,St. Gallen,17,Sommertage
2002,Zürich-Fluntern,36,Sommertage
2003,Basel-Binningen,98,Sommertage
2003,Bern-Zollikofen,83,Sommertage
2003,Davos,16,Sommertage
2003,Genf-Cointrin,95,Sommertage
2003,Locarno-Monti,109,Sommertage
2003,Lugano,111,Sommertage
2003,Luzern,88,Sommertage
2003,Neuenburg,83,Sommertage
2003,Säntis,0,Sommertage
2003,Samedan,18,Sommertage
2003,Sitten,97,Sommertage
2003,St. Gallen,52,Sommertage
2003,Zürich-Fluntern,85,Sommertage
2004,Basel-Binningen,57,Sommertage
2004,Bern-Zollikofen,40,Sommertage
2004,Davos,0,Sommertage
2004,Genf-Cointrin,61,Sommertage
2004,Locarno-Monti,71,Sommertage
2004,Lugano,76,Sommertage
2004,Luzern,46,Sommertage
2004,Neuenburg,47,Sommertage
2004,Säntis,0,Sommertage
2004,Samedan,0,Sommertage
2004,Sitten,74,Sommertage
2004,St. Gallen,18,Sommertage
2004,Zürich-Fluntern,41,Sommertage
2005,Basel-Binningen,53,Sommertage
2005,Bern-Zollikofen,49,Sommertage
2005,Davos,5,Sommertage
2005,Genf-Cointrin,59,Sommertage
2005,Locarno-Monti,78,Sommertage
2005,Lugano,75,Sommertage
2005,Luzern,44,Sommertage
2005,Neuenburg,53,Sommertage
2005,Säntis,0,Sommertage
2005,Samedan,4,Sommertage
2005,Sitten,73,Sommertage
2005,St. Gallen,22,Sommertage
2005,Zürich-Fluntern,43,Sommertage
2006,Basel-Binningen,64,Sommertage
2006,Bern-Zollikofen,51,Sommertage
2006,Davos,12,Sommertage
2006,Genf-Cointrin,68,Sommertage
2006,Locarno-Monti,78,Sommertage
2006,Lugano,69,Sommertage
2006,Luzern,57,Sommertage
2006,Neuenburg,52,Sommertage
2006,Säntis,0,Sommertage
2006,Samedan,6,Sommertage
2006,Sitten,80,Sommertage
2006,St. Gallen,31,Sommertage
2006,Zürich-Fluntern,51,Sommertage
2007,Basel-Binningen,62,Sommertage
2007,Bern-Zollikofen,36,Sommertage
2007,Davos,5,Sommertage
2007,Genf-Cointrin,56,Sommertage
2007,Locarno-Monti,82,Sommertage
2007,Lugano,68,Sommertage
2007,Luzern,49,Sommertage
2007,Neuenburg,31,Sommertage
2007,Säntis,0,Sommertage
2007,Samedan,0,Sommertage
2007,Sitten,63,Sommertage
2007,St. Gallen,15,Sommertage
2007,Zürich-Fluntern,37,Sommertage
2008,Basel-Binningen,46,Sommertage
2008,Bern-Zollikofen,38,Sommertage
2008,Davos,1,Sommertage
2008,Genf-Cointrin,51,Sommertage
2008,Locarno-Monti,66,Sommertage
2008,Lugano,64,Sommertage
2008,Luzern,42,Sommertage
2008,Neuenburg,41,Sommertage
2008,Säntis,0,Sommertage
2008,Samedan,0,Sommertage
2008,Sitten,69,Sommertage
2008,St. Gallen,15,Sommertage
2008,Zürich-Fluntern,36,Sommertage
2009,Basel-Binningen,56,Sommertage
2009,Bern-Zollikofen,49,Sommertage
2009,Davos,2,Sommertage
2009,Genf-Cointrin,66,Sommertage
2009,Locarno-Monti,92,Sommertage
2009,Lugano,85,Sommertage
2009,Luzern,51,Sommertage
2009,Neuenburg,53,Sommertage
2009,Säntis,0,Sommertage
2009,Samedan,0,Sommertage
2009,Sitten,82,Sommertage
2009,St. Gallen,18,Sommertage
2009,Zürich-Fluntern,46,Sommertage
2010,Basel-Binningen,46,Sommertage
2010,Bern-Zollikofen,40,Sommertage
2010,Davos,8,Sommertage
2010,Genf-Cointrin,57,Sommertage
2010,Locarno-Monti,72,Sommertage
2010,Lugano,65,Sommertage
2010,Luzern,44,Sommertage
2010,Neuenburg,42,Sommertage
2010,Säntis,0,Sommertage
2010,Samedan,7,Sommertage
2010,Sitten,62,Sommertage
2010,St. Gallen,20,Sommertage
2010,Zürich-Fluntern,41,Sommertage
2011,Basel-Binningen,69,Sommertage
2011,Bern-Zollikofen,45,Sommertage
2011,Davos,6,Sommertage
2011,Genf-Cointrin,62,Sommertage
2011,Locarno-Monti,93,Sommertage
2011,Lugano,98,Sommertage
2011,Luzern,47,Sommertage
2011,Neuenburg,49,Sommertage
2011,Säntis,0,Sommertage
2011,Samedan,3,Sommertage
2011,Sitten,101,Sommertage
2011,St. Gallen,15,Sommertage
2011,Zürich-Fluntern,39,Sommertage
2012,Basel-Binningen,58,Sommertage
2012,Bern-Zollikofen,43,Sommertage
2012,Davos,9,Sommertage
2012,Genf-Cointrin,67,Sommertage
2012,Locarno-Monti,96,Sommertage
2012,Lugano,95,Sommertage
2012,Luzern,55,Sommertage
2012,Neuenburg,50,Sommertage
2012,Säntis,0,Sommertage
2012,Samedan,4,Sommertage
2012,Sitten,88,Sommertage
2012,St. Gallen,20,Sommertage
2012,Zürich-Fluntern,42,Sommertage
2013,Basel-Binningen,53,Sommertage
2013,Bern-Zollikofen,46,Sommertage
2013,Davos,9,Sommertage
2013,Genf-Cointrin,58,Sommertage
2013,Locarno-Monti,87,Sommertage
2013,Lugano,82,Sommertage
2013,Luzern,48,Sommertage
2013,Neuenburg,50,Sommertage
2013,Säntis,0,Sommertage
2013,Samedan,5,Sommertage
2013,Sitten,78,Sommertage
2013,St. Gallen,21,Sommertage
2013,Zürich-Fluntern,46,Sommertage
2014,Basel-Binningen,41,Sommertage
2014,Bern-Zollikofen,24,Sommertage
2014,Davos,4,Sommertage
2014,Genf-Cointrin,41,Sommertage
2014,Locarno-Monti,55,Sommertage
2014,Lugano,47,Sommertage
2014,Luzern,29,Sommertage
2014,Neuenburg,28,Sommertage
2014,Säntis,0,Sommertage
2014,Samedan,0,Sommertage
2014,Sitten,62,Sommertage
2014,St. Gallen,13,Sommertage
2014,Zürich-Fluntern,26,Sommertage
